method,bin_number,bin_rows,probability_min,probability_max,mean_predicted_probability,actual_click_rate,absolute_gap,weighted_gap,cumulative_rows
uncalibrated,1,10000,0.000766011971440986,0.017840834260820216,0.012661408994572656,0.0121,0.0005614089945726562,2.807044972863281e-05,10000
uncalibrated,2,10000,0.017840834260820216,0.024895840434204217,0.020775882617906045,0.0255,0.004724117382093954,0.00023620586910469768,20000
uncalibrated,3,10000,0.02489655525172101,0.034855646785661686,0.029923916994918136,0.0302,0.00027608300508186537,1.3804150254093268e-05,30000
uncalibrated,4,10000,0.034855646785661686,0.049520504648145225,0.04179518607187633,0.0431,0.00130481392812367,6.52406964061835e-05,40000
uncalibrated,5,10000,0.0495256286400567,0.06671472449158254,0.058293402142984584,0.0507,0.007593402142984582,0.0003796701071492291,50000
uncalibrated,6,10000,0.06671521986559208,0.08048009142480536,0.07352885075537126,0.0756,0.002071149244628742,0.00010355746223143711,60000
uncalibrated,7,10000,0.08048112839523462,0.0927101742575123,0.08583084910255141,0.0811,0.004730849102551407,0.00023654245512757036,70000
uncalibrated,8,10000,0.0927101742575123,0.10695780673825242,0.09950100568130078,0.1105,0.010998994318699218,0.0005499497159349609,80000
uncalibrated,9,10000,0.10696527301334031,0.12341103345372327,0.11476774350728326,0.1167,0.0019322564927167357,9.661282463583678e-05,90000
uncalibrated,10,10000,0.12341202218476875,0.1437935468555122,0.13361026506554655,0.1296,0.004010265065546553,0.00020051325327732767,100000
uncalibrated,11,10000,0.14379629272844413,0.16169369810930972,0.15317782494162863,0.1504,0.0027778249416286205,0.00013889124708143103,110000
uncalibrated,12,10000,0.16170319426609123,0.1774761498272286,0.1690811249781866,0.1526,0.016481124978186573,0.0008240562489093287,120000
uncalibrated,13,10000,0.1774811129304561,0.19999059467505556,0.18836317354916327,0.1841,0.004263173549163252,0.0002131586774581626,130000
uncalibrated,14,10000,0.19999679983893362,0.22108125884518437,0.2112668635513773,0.1936,0.01766686355137731,0.0008833431775688655,140000
uncalibrated,15,10000,0.22108125884518437,0.24176952309827968,0.23036622162702206,0.2178,0.012566221627022062,0.000628311081351103,150000
uncalibrated,16,10000,0.2417716479289117,0.26097883684199463,0.2511085896038552,0.2423,0.008808589603855194,0.0004404294801927597,160000
uncalibrated,17,10000,0.26097883684199463,0.2812520655100092,0.27044371146535895,0.2604,0.010043711465358929,0.0005021855732679465,170000
uncalibrated,18,10000,0.2812520655100092,0.30275003206019885,0.29200550640076417,0.2957,0.0036944935992358485,0.00018472467996179243,180000
uncalibrated,19,10000,0.3027555660566481,0.3332374566732099,0.3146478250351386,0.3128,0.0018478250351385839,9.239125175692919e-05,190000
uncalibrated,20,10000,0.33325798640826365,0.9237603505298617,0.4631298518353542,0.4546,0.008529851835354207,0.0004264925917677104,200000
sigmoid,1,10000,0.0007359395366177056,0.01722797614121509,0.012220649978151317,0.0121,0.00012064997815131734,6.032498907565866e-06,10000
sigmoid,2,10000,0.01722797614121509,0.024057928894758468,0.020068901080089983,0.0255,0.005431098919910015,0.00027155494599550076,20000
sigmoid,3,10000,0.024058621230546803,0.03371016270133311,0.02892979948065725,0.0302,0.001270200519342752,6.35100259671376e-05,30000
sigmoid,4,10000,0.03371016270133311,0.04794078619171464,0.04044262128395079,0.0431,0.002657378716049208,0.0001328689358024604,40000
sigmoid,5,10000,0.04794576203780448,0.06465099002251706,0.05646457153435687,0.0507,0.005764571534356867,0.00028822857671784337,50000
