app_id,frequency
00b4e81c,7
013d2249,716
0153e432,1
0216d312,7
02797cdf,10
027a5c8e,6
034d2c9d,10
037e8e49,7
03e09b02,1
04d65dee,330
0627e99d,4
064bead1,41
07da6a62,2
07fa2950,11
0802b363,444
0885a933,1861
08d10c64,34
0977ff24,10816
09bf1600,4
0a365d8b,1830
0a7f6016,840
0a955c32,10
0a9ee6a5,18
0ac67802,13
0bb65f92,50
0bdd44e6,1
0c2a6653,13
0c337522,19
0c7ef755,915
0cdf6ccc,11
0d3a6eac,16
0d3ec9ec,2
0d8ea983,17
0daaac53,2
0e18a71e,3
0e5f433c,1
0ed03732,1
0ee82cb3,3
0ef9d2bd,36
0f5d19d2,8
0f6b2622,7
0f760060,39
11e05ffd,1
1220963a,6
12d84d64,85
1347f073,4
143cecd3,12
145f05d5,2
14fa9683,26
1575d9be,311
17ddc447,55
1887980d,1
18ef83f9,13
1a3d2305,2
1a3fe979,13
1a9a1480,14
1c548352,9
1cb1f05a,2
1d0ea502,2
1d2078e0,17
1d64ced5,24300
1d8eb0d8,2
1dc72b4d,105288
1e0d4c22,1
1e3f2dbe,1
1e764111,25
1eabbc18,1
1ef2364a,1
1ef25f8d,37
1f9446d5,1
1f9df499,25
1fe8cb12,1
23310424,4
233fd7e7,136
2368c1fd,2
239153ea,41
239c5d07,132
23a87dc1,29
24880e21,1
25548cb6,1
263bf1bc,198
2660e882,30
26986db1,4
2773a42c,6
2774c42c,16
28b822de,3
2963263d,1
297faab9,1
29ab8a5e,5
29ca422c,11
2a626626,262
2a65066f,15
2aae69ab,3
2bc6bb64,6713
2c0c4214,599
2c361fba,1
2cfe091a,36
2d2eb8db,1
2d87a59a,2
2e10edcf,12
2e402503,11040
2e4d5ff3,6
2e5cd15d,327
2ec99984,34
305b401f,2
309b2d6b,2
3111a39b,969
311669da,1
3169a925,4
31b44087,140
33c4eb7c,39
33d0061e,39
347b5880,3
34a4549e,379
368428d5,1
36e64406,5
370875fa,134
37a951ce,2
37c9471c,26
38363dff,4
388d9bfb,9077
38cf96e8,420
38eea716,1
3a20c45e,7
3aaad586,7
3ac07ed5,1
3adb8729,15
3b05258f,1
3b611674,1
3be10362,9
3bfa19cb,63381
3c2d6edb,2
3c856f20,3
3d30ec22,1
3d316128,1
3d4bb1ec,34
3d64e9ad,10
3d8ee270,54
3da69e9b,2
3e18b13c,1
3e82ab7e,236
3f117154,208
3fbb925e,106
40695ea5,5
40e29d6d,3
413cae80,11
41d8fc0d,7
420920da,5
422df6d6,1101
43d12a12,2
442cfede,46973
44b19f49,2
45ef1bda,1
4642ea8f,2
46f2a834,6
48329a2e,3
4884476a,285
494e2118,3
4a901bcb,82
4ace9ccd,2
4b40bd47,146
4be92b89,1
4c7a3093,15
4cb12ef8,5
4cd84ca4,8
4ce04461,2
4d096147,6
4db5dd20,2
4e02fbd3,67659
4e6ed8e7,29
4ecb4619,5
4ee2a7c8,26
4f1894fe,5
4fa8a7a9,1223
4fec7216,6
506c0713,7
50904431,3
509be789,15
50b781ac,5
50dbec7e,63
517f6e54,35
519b5032,4
51ce557d,127
51f5bbf0,4
51fa75c0,2
54964296,861
54d31abe,4
55354a94,2138
55664ce6,38
558c2c17,1410
55a8200d,91
55c5fc88,10
56338982,686
56479aab,29
5712d5c5,39
5768f984,4
576ea112,1584
577ec76d,997
581fa5db,2
58809597,8
5a092129,1
5be5f1a4,11
5be7717d,1
5c7805b6,1
5d0e55b8,1
5f8c940c,130
6044f4e9,17
6055aee4,1425
6079f341,3
60bb5556,15
612917e1,1
6150626e,1
6297b929,20
632566c6,6
63a0fb76,120
63c0d62d,3
63d89360,306
65108852,1
65377abd,14
65e4ebd7,17
66308a77,2
667884b2,43
66959b16,1
66c85cdd,1
66d1cc1d,5
66e3e3d6,1
66ea951e,1
6706d6ae,28
67205d08,1
6723d5cf,169
67879c33,3
67958dc0,393
683a547c,1385
685d1c4c,408515
68ef43e3,2
690a858c,8
69aa8a8f,1
69e6930c,9
69fd6e71,1
6ab9ec73,2
6ae09b45,205
6afa406c,6
6b1b2966,1
6b7ee523,3
6cb6a4a5,25
6d7421f2,8
6e495b14,9
6e7ce7d5,22
6ec03575,14
6f245d39,2
6f30e755,1
6fc8ba71,18
707bc298,40
708e0664,1
718e4622,4768
72c55d0b,16
733cb7d2,1
73eef034,6
742564d2,45
7432a485,17
7449abdd,617
7494902b,39
75076517,14399
752af50b,9
7548799f,630
754ca8ec,446
778cf689,2
78232d34,15
78cbeec7,1
79466420,41
79993d69,8
79e78542,2
79f4af5c,113
7a707685,2
7a7d2c7f,4
7b6bb410,51
7b798af3,19
7ba47971,4
7bc8060a,1
7bd15d7a,6
7c68b4ff,7
7cc54646,1
7ce1fa1c,4
7da07166,25
7df0aac8,13
7f3710e2,1
8157b759,118
81810181,96
82a4d1ff,435
8312a495,1
83431aa8,31
83ae1fa0,8
83c3c522,3
83cac99f,41
85362b15,9
85938df3,35051
85a2beb5,15
85b28c93,11721
85cb4e6c,163
85e54472,1
8701da13,2
8751c911,11
875bb3f3,2
88321de7,1
88339998,1
887cf5d1,1
888ebba4,3
88d72bb5,181
89dc2137,2
8a38db9c,4
8a3a0c0d,6
8a710ed0,37
8ae94475,272
8af6b18f,20
8b16c008,22
8b7dee63,96
8b89048f,75022
8be5c162,19
8c394bee,5
8ca019af,1
8ce841ec,1
8d280a46,3
8e544f4c,23
8e7215e6,2
8eae2d3b,8
8ecdb766,173
8ece5e8c,1
8eed21c5,6
8f176a19,4
8f815686,2
902bd5e0,5
902f8bb2,2919
904117a7,9
915fb419,5
918fd820,754
924cf0f6,2089
925f2473,1
9288abb8,3
92b8ca21,5
92e72531,2190
93b88861,15
945e527e,130
94608a1f,1
9464c5fb,3
94f0c223,309
94f186b3,1
95827a92,6568
95aeed2d,12
95eaf2fe,460
96a8709b,1
9872700c,2
997b15df,295
9a50d160,5
9be0742f,34
9c13e1dd,1
9c5756a8,1
9c726c4d,51
9cb67dcc,334
9ce3e7b6,14
9dbaa1bc,5
9e343cac,1
9ee50b41,1
a000a239,250
a00bdf79,2
a0197849,10
a02fd0e7,16
a0828b23,47
a0de4f6d,1
a17368e8,1
a1f5309e,15
a3cf62ff,1
a4155e2e,32
a601e6df,1
a60ab5b4,3
a6d8d38a,2
a70b21ee,1
a74fa736,4
a757129c,1
a75b648a,18
a7c32983,2
a89068ff,8
a8d671c6,1
a96ca070,1
aad05e6b,186
ab492bdc,2
ab5aa91a,2
ab738fbb,2
ac2ce423,2
ac7fc0da,4
acdfc7e0,7
ad1a8dd0,3
ad355948,6
ae843f2a,522
ae8617a6,8
af3f2d83,12
af52af95,4
b0d81db8,9
b0f69635,18
b1310dff,4
b1654a94,1
b193ed51,182
b19d6d3d,10
b1cbdfe3,45
b28d957a,9
b38fe155,85
b443eb53,1
b4a7b2ec,1
b4d78bcd,1
b5c9be1b,66
b61f3a9b,36
b693c23f,2
b6a9535e,1
b6cdbeb8,8
b6d5bd68,22
b73d973b,4
b7a083a9,6
b80746a0,2345
b85f49ae,110
b8936566,5
b8bf1fe7,3
b975ab23,2
b9a63a3f,100
bb885ef6,18
bb94d5cf,19
bc22b7f3,1
bd3527da,1
bd401f1a,3
bddc1bdc,7
bdf964ca,2
bee707fe,1
bf28718c,10
bf844ed7,249
bf9f1555,20
c0399684,11
c0c5eb49,3898
c17fe377,8
c1892eff,1
c1de5234,10
c1deacce,1
c2d8cb02,21
c350c9e2,1
c3ebbc56,2
c4fc973a,5
c5f2aa13,6
c66443b8,3
c6ac6052,43
c6cc484d,231
c6d6ce85,12
c6e52c21,1451
c7930147,13
c7d83b62,6
c845aff9,1
c87d0ef5,6
c8fcc2fc,1
c9a0fe20,11
c9b249a9,5
c9b2f236,21
c9e81104,1
ca0b0eed,66
cacc3443,1
cbaa25ee,1
cc1c2bd2,5052
cce6302c,2
ccf86165,14
cd36f7b1,20
cd76c15b,1
cd7fcd65,55
cd8f0999,1
cdb85d08,1
ce623dcd,2
ce6303e4,28
cee996e6,2
cf2d7efb,1
cf32ee35,14
cf4435b7,54
cf5912a8,2
cf75e71e,2
d0429bde,1
d07d49ef,1
d0ee5d09,5
d16e4e99,1
d17cce16,5
d1e438f6,2910
d1eb6219,2
d1f14f7d,1544
d24ef94a,51
d34b1300,234
d40183fa,1
d42361b6,2
d44c074c,68082
d55aad7d,8
d6033c34,1
d66fe2f2,12
d688e356,1
d705ee23,1
d768ebc5,115
d7843cf5,1
d7a090cf,9
d7a6d255,3
d7b5c50a,3
d7bd47df,3
d80b6060,142
d80f69af,2
d837e246,6
d90eac09,1
da594cec,87
db7d6c6a,10914
dc19dbf4,9
dd040879,1
dd6bb334,25
