device_model,frequency
01161611,1268
014c970f,224
021759da,1490
02be221d,804
031d8f57,1
03c9a43d,862
04e9caf4,1
052c833b,19
0608f59c,209
06f6cdee,1
0838d155,5073
08b7c22d,62
098f4028,1765
09902a44,661
0a15cb18,2238
0a28e5e8,7
0a624cca,1
0a860907,167
0ac72e2c,11
0c6946bf,3311
0ccec1b6,3
0d2b4db4,771
0d8b1fd1,2
0ddb0b7b,1
0e68325a,1321
0e6acc0b,198
0eef90f1,840
0fa225c6,44
0fbd967d,2
1054e1fc,13
11814293,72
1203db8b,303
122591ce,4
12286cf2,20
12edfe21,16323
1305332b,1012
132aea27,134
1358f13e,42
13cd6efa,2
14190ba8,104
150d42ed,3195
1563278e,1
160c310f,2282
165392c6,367
16c35778,304
17ccc89e,10
18087afc,17014
180a896e,5854
18353dfc,587
183665f2,1
19f1f683,1913
19f7ab01,29
1a3068c8,6
1b183a78,3
1b5af0b2,6
1b674e42,236
1b7e9f47,1
1bad5d71,3
1baf3872,37
1c72b272,204
1cb31832,212
1ce36c7c,34
1ce979ed,7907
1e4ca650,494
1e5925f1,4570
1f43e0a5,2085
1f89da97,1
2087baac,18
20b26358,2939
20ffae4c,552
2203a096,201207
2258e412,517
22988b75,2321
238fd98e,7
23b55af7,764
241b31d0,1
242907a2,525
24c970ef,436
24f6ffcb,12
2693c626,4964
269b2309,15
270d4f4e,55
27f0942f,987
282c2a32,787
2891f384,155893
28c81f50,6
28daa008,134
2912a694,38
2960ac54,3
296f8cbc,3999
29ad194c,1
2a3a67ed,4816
2b194735,66
2b1fbf38,1
2b7643cf,6
2bf35c8d,8
2bf694c6,393
2bfd0d1a,4396
2c8d2645,2
2d2db55d,2
2d5e1f10,14
2d5eed58,2808
2d6584b4,925
2db63e92,21984
2e638e3e,1
2e7b81e6,3
30893d72,21
31286755,1
31368961,2821
31a04350,2
31b40946,3
31f63ca2,44695
322a9297,1
32763df1,1122
329add22,2502
32d0ea5e,268
32d5b159,700
33fab153,5
340046be,1
34c5a3d8,10
35334538,51
3654cdde,16
36c6b1de,65930
36d749e5,250045
37839526,182
37b34497,776
382ff9f9,7220
384620fb,2549
38fa4765,641
391f84ba,460
39beb545,7
3a29aac7,30
3a5d4a56,4
3a6779a9,1
3b01cf45,12
3b394655,3
3b5eacc6,1214
3bcda2fe,134
3c23e791,8
3c53a1a6,11887
3ce1be9f,1
3d3ec9ec,54
3d6621ac,997
3da96e4f,603
3e277cd6,414
3ec634b5,6290
3f217a90,7
3f5c4359,1
40ee6047,1653
41b62223,2845
424426d8,1
42de30d9,1
44c3d446,1
451a0cfb,157
45554f0e,5
455a6b12,652
45647e59,463
4653ade7,11
46695ae8,2
467b933c,140
46d54f9f,124
488744ad,47
48b852a8,458
4955088d,497
497a111d,142
49964d8a,3
499c1d51,3404
49bc419a,14937
4a3a0619,6
4a562e5e,38
4bacd9d5,323
4d2d6d61,323
4e1df43b,328
4e435546,712
4e979faf,605
4f0e73ac,94
4f3ba22b,222
4f4b5ad5,21632
4f7f61d3,1
4fa960d8,1
4fd4fa48,925
508c4e8a,191
50980ba9,6
5113a51d,883
52f0649b,2
533fab62,320
53e71a9f,306
53fb83a8,78
545626fa,41
5464db8a,3413
54788f9f,554
547b5ef0,64
54c1ac51,732
553f099b,65491
556baaf8,53
559a25fa,202
559c735b,570
55bcf790,1799
56ed7091,14
56f254f5,15835
5797cb40,1031
57d84697,5
57ee8b44,2518
584ef190,1531
587e0cae,1
58811309,889
58d7eb15,383
5ab3f4ca,14
5b426517,1
5be79e5b,356
5cba86ad,1154
5cc09a29,4
5d234462,1
5d4d2e1d,2
5d75c1bf,21
5d795990,2
5dc1287b,1000
5e42d307,3027
5ecf2855,1000
5ee4eeec,2038
5f2e71ba,2006
5fa27122,357
607e78f2,1511
609e0b82,6510
60cf5a10,6020
6187fa99,81
6192deeb,19
61ffd1fd,24
62560723,37
6259f087,6
63c63c66,1155
63d26fad,19
64284161,109
65046399,144
65a348cb,6
66406620,39
66b80ac6,2
675588ec,446
6784860e,8
6822482e,65
68232917,135
689b89c1,1234
68b6db2c,85591
68c173ed,1
694bf08c,203
6a72ae24,42
6ae7fb43,30948
6b516023,10
6b90e132,3
6bb17907,3320
6c65a16a,1098
6d2207db,18
6d44e29a,78093
6d9730c2,5
706061f9,8
70b49c94,1
70dc3db1,16
70f34f53,2
70f7c85c,2
717d9498,1
71c58ca1,154
71f7bc61,153
7224c228,1193
72385265,103
72d6437d,9
72db2497,1021
72e78ef4,24
72f37759,81
731e8853,172
731fb5d7,40
7522b287,5
766b28b3,16900
76b1dc92,2484
76bf5878,12
76f67383,6627
7762b516,3
77dd3cf5,2343
785fac0a,1
78c2720b,10
78dbf299,2
7956d1bb,2220
795abcc5,23
7a63d37c,8961
7ac0f86b,304
7aecdc8d,5780
7bf3e60a,2
7cab03be,1
7cc54c90,4515
7d9f621e,226
7da1c19e,5398
7de6ec96,96
7df2ef3f,28
7e3f010f,17
7e757c26,3150
7f2c9ffe,24
7f93d0f5,219
7f9dc481,4
802ebf21,448
805d25d7,1
80e75679,599
80f61b6e,22602
8129b225,24
816f0649,1
82111ba7,5
82c6c4eb,49
8394f5cf,5
8420b385,2
8441e5e4,23
84542cec,20
84678dac,7
849bd234,1
850a3338,1
856e5313,15
85740838,133
85b161e6,34
8642f369,69
883b4195,234
8883c21f,1
88846240,260
88b5ff59,6
88e02ee9,1730
890c103a,330
89149175,510
8990868f,10
8a63768f,405
8a655da2,1546
8a6685fe,4026
8a74c808,382
8a7984c0,112
8a8963ee,18
8a8b89fd,217
8b3938e0,1747
8b4e04a0,1
8c33cea5,486
8c390b08,81
8c7bf5ca,1759
8cfca42e,28
8d068240,777
8dc16460,847
8e7099ff,32
8e70a05f,1
8e85a0ef,953
8eeb486e,2
8f1e98cf,51
8f79a672,8
8f905454,165
9018c967,3
906ac007,2967
90c174b6,1
90e4340a,1
90f1ccfb,2
91a4b30c,38
926068a0,9
92cd0dc8,1396
92ff55a8,505
932965be,18
93347b0a,1040
9334bf19,200
945dd5c4,58038
947f5ef6,9140
958016b2,9
96bca04e,3249
9735f427,1262
981edffc,361456
98287152,57
987d464f,2
9932db49,1
9943b976,6
99e427c9,258488
9a8f7ed7,2123
9ab23325,172
9abc3450,47
9b0728aa,128
9b5c32a1,1373
9b768caa,18
9bbee411,3
9bd80a63,311
9c182a4b,162
9d9d242c,63
9e372839,469
9eb61705,246
9eedda98,1926
9f486fda,4
9fc6d8f0,1206
9ff5192e,71
a08d16cd,15423
a0916d2f,6
a0b0c0b3,1854
a1052ecd,354
a13648ac,1
a1811f6e,156
a27ba4b1,146
a2f15940,6851
a3a84862,1
a3b83d46,25
a4528ded,14430
a586787d,2552
a5dec35f,618
a61895f4,100
a883553b,272
a8964a12,33033
a8c2d00d,802
a8d2c4cf,116599
a94d1405,13117
a9fd454b,755
aaca4395,52
ab480cd2,1
ab535b6d,19
ab8869e6,1
abf96e81,53
aca78c05,93
ad732990,76
ae5e1424,1425
aeff9344,243
af244e4d,5
af7fe221,39514
b042b0a7,979
b047aee9,4
b0550be9,16
b075269e,20
b0c05dab,215
b0c2433f,19
b0c24e51,64
b0f25fb4,2
b1efe748,658
b23bd56f,4
b261c0cc,11
b3eb8608,393
b47e910d,50
b4f99965,12
b511840f,9709
b533158f,458
b56b3535,3
b6443086,17301
b6ac7c72,43
b6b98033,840
b6c6eedf,64
b7ba3dd0,113
b820372f,2
b899865f,1
b89a3b95,24
b8ae4f8f,7
ba4b137c,1
baa8f676,5
babbb306,19
bbc61795,9
bc1ecf0a,803
bcd937be,3
bd45798c,2
bdbbfbfd,104
be8891d0,8
bf2f1a19,322
bf70dcff,11
c0b8dac3,176
c118b117,240
c229fd9a,1811
c26318b4,1
c3006fc4,699
c3950b2d,2
c3950e7c,1602
c405ddce,628
c44ebb26,17
c4a565e1,38254
c4bd3295,16
