site_id,frequency
00255fb4,423
003cf93d,72
011b0fda,17
0129a661,160
0213b620,16
02ffe73f,46
030440fe,11763
030f5447,15
037e2e14,1518
03cecb5d,2145
03e8af6b,12
04773863,148
04c9328e,1
05860e71,16
060309a2,159
06e498e7,2
077f03d9,1
08108017,3
089cd95b,3165
09d92f34,416
09e16ed8,180
0a0ae094,170
0a647e36,973
0b8f2e7a,65
0c53e15b,12
0c6d089f,52
0c7296a6,780
0d1917c4,36
0ed75ebe,6797
0f6673ed,5
10bf458f,1072
11b99737,745
12fb4121,192890
13688726,1
14ec6216,1228
1685b0a8,134
16874c6c,51
16df9adb,48
178661e3,1
178e76ed,9
19f5aee5,6
1c144425,1
1c16ca0e,20
1c82a473,351
1cf389e2,1315
1d1a1cc7,27
1da7e9c6,354
1ec7c24b,54
1f2d9473,6
1fb9af42,245
204c19b6,3
20cfb015,916
23797cea,12
24fa9ab1,10
25808c1a,20
262bf5a2,1
26fa1946,77557
27318110,1
27d665a4,5
2824a42d,1470
28599523,331
28c18e11,12
2a384a5d,18
2b4d5c50,4
2c25948e,25
2cba470b,1
2cf43c2d,5
2dc42bde,2443
2dfdf765,514
2f19f7f2,2102
32207e7a,13
323df3e7,1
3283e407,7
336eb87f,2
33bf7a28,2
33cac5eb,1
366cf12a,228
3a853d01,32
3aed969a,2
3b3f9711,632
3cba9fc9,2
3cc13dee,1083
3d374724,4
3e8f0647,8
3f98b5a4,2304
3fbef007,1156
41fb5282,106
4217f5cd,37
429a1f33,9
43a537d5,5
43d6df75,73814
4476c0ae,5
447a046d,26
45b9da38,47
4667ed40,50
46713f86,3
46f599b1,90
47d1a0f2,7294
49a9cc1a,2
4a777a59,2
4b0282c8,77
4be6bfbb,2
4d23517f,27
4e7614cf,87644
4f9e41f2,27
500400f8,12
5070e53c,6744
5114c672,165486
513194f8,3
51a30b1c,3
52e02e2a,4
57081af1,1
570fe027,40
57b8d0c5,33
58769b5e,5
5a7d0d17,5
5af89ef1,1
5ba2c590,1
5c6f356c,871
5ca99928,2
5d7d9b5f,1
5f544173,212
5f85bcd3,5
60089564,33
60837d57,242
60893b7e,5
62264946,297
62bbfc00,9
6399eda6,343703
64a88c69,26
658ae7ec,554
689a4f4c,559
68fd9b56,398
69919840,26
69e5a8cf,1
6a76c949,2
6b06f663,16
6b671654,1
6b8f7658,168
6bafb3c4,510
6c5b482c,191220
6ddf0cfe,6014
6e797b6d,42
6ee33876,83
6f484d66,2
7047cf33,2
7211dcb5,445
727e79e2,6285
72eac7c5,1
741de300,9
7621bb32,5
77c3d0d6,1
77eb4afc,319
794643bb,4
79f8e384,966
7b4b28fc,130
7c9acf20,5
80c0bddc,15
814b0498,24
81a4dc25,11
825e35ab,375
82975e08,4
837faadc,3
84b8986b,171
851cabf6,14
864667cc,1803
873f83ed,2
89733a19,1
89da173a,1
8a12c237,7
8a2d2abd,55
8c1d415f,98
8c27b45a,1
8cd4c81e,13
8d11a45d,1
8d53f28f,314
8e449168,98
9010c525,92
92fa1eaf,2676
93a197f8,9
94440a23,1258
945cd90c,5
94cf57e6,503
94ff9aef,485
95b98d6a,28
95ccd1c8,20
