split,source_file,source_rows,sampled_rows,sampling_ratio
train,part-0000.parquet,200000,12354,0.06177
train,part-0001.parquet,200000,12354,0.06177
train,part-0002.parquet,200000,12354,0.06177
train,part-0003.parquet,200000,12354,0.06177
train,part-0004.parquet,200000,12354,0.06177
train,part-0005.parquet,200000,12354,0.06177
train,part-0006.parquet,200000,12354,0.06177
train,part-0007.parquet,200000,12354,0.06177
train,part-0008.parquet,200000,12354,0.06177
train,part-0009.parquet,200000,12354,0.06177
train,part-0010.parquet,200000,12354,0.06177
train,part-0011.parquet,200000,12354,0.06177
train,part-0012.parquet,200000,12354,0.06177
train,part-0013.parquet,200000,12354,0.06177
train,part-0014.parquet,200000,12354,0.06177
train,part-0015.parquet,200000,12354,0.06177
train,part-0016.parquet,200000,12354,0.06177
train,part-0017.parquet,200000,12354,0.06177
train,part-0018.parquet,200000,12354,0.06177
train,part-0019.parquet,200000,12354,0.06177
train,part-0020.parquet,200000,12354,0.06177
train,part-0021.parquet,200000,12354,0.06177
train,part-0022.parquet,200000,12354,0.06177
train,part-0023.parquet,200000,12354,0.06177
train,part-0024.parquet,200000,12354,0.06177
train,part-0025.parquet,200000,12354,0.06177
train,part-0026.parquet,200000,12354,0.06177
train,part-0027.parquet,200000,12354,0.06177
train,part-0028.parquet,200000,12354,0.06177
train,part-0029.parquet,200000,12354,0.06177
train,part-0030.parquet,200000,12354,0.06177
train,part-0031.parquet,200000,12354,0.06177
train,part-0032.parquet,200000,12354,0.06177
train,part-0033.parquet,200000,12354,0.06177
train,part-0034.parquet,200000,12354,0.06177
train,part-0035.parquet,200000,12354,0.06177
train,part-0036.parquet,200000,12354,0.06177
train,part-0037.parquet,200000,12354,0.06177
train,part-0038.parquet,200000,12354,0.06177
train,part-0039.parquet,200000,12354,0.06177
train,part-0040.parquet,200000,12354,0.06177
train,part-0041.parquet,200000,12354,0.06177
train,part-0042.parquet,200000,12354,0.06177
train,part-0043.parquet,200000,12354,0.06177
train,part-0044.parquet,200000,12354,0.06177
train,part-0045.parquet,200000,12354,0.06177
train,part-0046.parquet,200000,12354,0.06177
train,part-0047.parquet,200000,12354,0.06177
train,part-0048.parquet,200000,12354,0.06177
train,part-0049.parquet,200000,12354,0.06177
train,part-0050.parquet,200000,12354,0.06177
train,part-0051.parquet,200000,12354,0.06177
train,part-0052.parquet,200000,12354,0.06177
train,part-0053.parquet,200000,12354,0.06177
train,part-0054.parquet,200000,12354,0.06177
train,part-0055.parquet,200000,12354,0.06177
train,part-0056.parquet,200000,12354,0.06177
train,part-0057.parquet,200000,12354,0.06177
train,part-0058.parquet,200000,12354,0.06177
train,part-0059.parquet,200000,12354,0.06177
train,part-0060.parquet,200000,12354,0.06177
train,part-0061.parquet,200000,12354,0.06177
train,part-0062.parquet,200000,12354,0.06177
train,part-0063.parquet,200000,12354,0.06177
train,part-0064.parquet,200000,12354,0.06177
train,part-0065.parquet,200000,12354,0.06177
train,part-0066.parquet,200000,12354,0.06177
train,part-0067.parquet,200000,12354,0.06177
train,part-0068.parquet,200000,12354,0.06177
train,part-0069.parquet,200000,12354,0.06177
train,part-0070.parquet,200000,12354,0.06177
train,part-0071.parquet,200000,12354,0.06177
train,part-0072.parquet,200000,12354,0.06177
train,part-0073.parquet,200000,12354,0.06177
train,part-0074.parquet,200000,12354,0.06177
train,part-0075.parquet,200000,12354,0.06177
train,part-0076.parquet,200000,12354,0.06177
train,part-0077.parquet,200000,12354,0.06177
train,part-0078.parquet,200000,12354,0.06177
train,part-0079.parquet,200000,12354,0.06177
train,part-0080.parquet,200000,12354,0.06177
train,part-0081.parquet,200000,12354,0.06177
train,part-0082.parquet,200000,12354,0.06177
train,part-0083.parquet,200000,12354,0.06177
train,part-0084.parquet,200000,12354,0.06177
train,part-0085.parquet,200000,12354,0.06177
train,part-0086.parquet,200000,12354,0.06177
train,part-0087.parquet,200000,12354,0.06177
train,part-0088.parquet,200000,12354,0.06177
train,part-0089.parquet,200000,12354,0.06177
train,part-0090.parquet,200000,12354,0.06177
train,part-0091.parquet,200000,12354,0.06177
train,part-0092.parquet,200000,12354,0.06177
train,part-0093.parquet,200000,12354,0.06177
train,part-0094.parquet,200000,12354,0.06177
train,part-0095.parquet,200000,12354,0.06177
train,part-0096.parquet,200000,12354,0.06177
train,part-0097.parquet,200000,12354,0.06177
train,part-0098.parquet,200000,12354,0.06177
train,part-0099.parquet,200000,12354,0.06177
train,part-0100.parquet,200000,12354,0.06177
train,part-0101.parquet,200000,12354,0.06177
train,part-0102.parquet,200000,12354,0.06177
train,part-0103.parquet,200000,12354,0.06177
train,part-0104.parquet,200000,12354,0.06177
train,part-0105.parquet,200000,12354,0.06177
train,part-0106.parquet,200000,12354,0.06177
train,part-0107.parquet,200000,12354,0.06177
train,part-0108.parquet,200000,12354,0.06177
train,part-0109.parquet,200000,12354,0.06177
train,part-0110.parquet,200000,12354,0.06177
train,part-0111.parquet,200000,12354,0.06177
train,part-0112.parquet,200000,12354,0.06177
train,part-0113.parquet,200000,12354,0.06177
train,part-0114.parquet,200000,12354,0.06177
train,part-0115.parquet,200000,12355,0.061775
train,part-0116.parquet,200000,12355,0.061775
train,part-0117.parquet,200000,12355,0.061775
train,part-0118.parquet,200000,12355,0.061775
train,part-0119.parquet,200000,12355,0.061775
train,part-0120.parquet,200000,12355,0.061775
train,part-0121.parquet,200000,12355,0.061775
train,part-0122.parquet,200000,12355,0.061775
train,part-0123.parquet,200000,12355,0.061775
train,part-0124.parquet,200000,12355,0.061775
train,part-0125.parquet,200000,12355,0.061775
train,part-0126.parquet,200000,12355,0.061775
train,part-0127.parquet,200000,12355,0.061775
train,part-0128.parquet,200000,12355,0.061775
train,part-0129.parquet,200000,12355,0.061775
train,part-0130.parquet,200000,12355,0.061775
train,part-0131.parquet,200000,12355,0.061775
train,part-0132.parquet,200000,12355,0.061775
train,part-0133.parquet,200000,12355,0.061775
train,part-0134.parquet,200000,12355,0.061775
train,part-0135.parquet,200000,12355,0.061775
train,part-0136.parquet,200000,12355,0.061775
train,part-0137.parquet,200000,12355,0.061775
train,part-0138.parquet,200000,12355,0.061775
train,part-0139.parquet,200000,12355,0.061775
train,part-0140.parquet,200000,12355,0.061775
train,part-0141.parquet,200000,12355,0.061775
train,part-0142.parquet,200000,12355,0.061775
train,part-0143.parquet,200000,12355,0.061775
train,part-0144.parquet,200000,12355,0.061775
train,part-0145.parquet,200000,12355,0.061775
train,part-0146.parquet,200000,12355,0.061775
train,part-0147.parquet,200000,12355,0.061775
train,part-0148.parquet,200000,12355,0.061775
train,part-0149.parquet,200000,12355,0.061775
train,part-0150.parquet,200000,12355,0.061775
train,part-0151.parquet,200000,12355,0.061775
train,part-0152.parquet,200000,12355,0.061775
