feature,gain_importance,split_importance,gain_importance_normalized,rank
site_id_te,744871.9454438686,722.0,0.3978713069600367,1
app_id_te,356207.19972252846,569.0,0.19026709888734447,2
site_id_hist_ctr,245904.57285308838,471.0,0.13134925323332727,3
site_id_freq,106841.71813416481,1058.0,0.0570692107440894,4
device_model_te,60708.55111694336,752.0,0.03242730609508321,5
app_id_hist_ctr,51887.36282610893,385.0,0.027715492560310546,6
app_id_freq,43184.398627996445,761.0,0.023066828100453587,7
app_id_exposure_percentile,32916.30275511742,232.0,0.017582152848657304,8
device_model_freq,28890.810770750046,825.0,0.015431947344511235,9
device_model_hist_ctr,23360.66965675354,615.0,0.01247803763404674,10
site_id_exposure_percentile,22298.624842643738,335.0,0.011910749309087481,11
device_model_exposure_percentile,21932.328630447388,529.0,0.011715093191854839,12
hour_sin,20129.709832668304,470.0,0.010752229304430929,13
app_category_freq,19867.993448972702,253.0,0.010612434215797575,14
site_category_freq,19031.055151462555,270.0,0.0101653859193594,15
app_id_hist_clicks,13909.546976327896,237.0,0.007429746372573846,16
hour_cos,10258.027819156647,322.0,0.00547929742851059,17
site_id_hist_clicks,6538.206320524216,299.0,0.003492364976064699,18
device_model_hist_clicks,5287.640810012817,328.0,0.0028243788381120643,19
device_model_hist_impressions,4900.250348806381,322.0,0.0026174552856184754,20
app_id_hist_impressions,4361.530236244202,120.0,0.002329699414851928,21
site_id_hist_impressions,3630.830440759659,151.0,0.0019393981229276847,22
site_category_hist_ctr,3553.0177364349365,149.0,0.0018978346803022231,23
app_category_hist_ctr,3191.8021738529205,155.0,0.001704892378128162,24
site_category_hist_impressions,3133.429652929306,132.0,0.0016737128561546354,25
app_category_te,2741.82603764534,161.0,0.0014645388589644725,26
site_category_te,2511.9428803920746,157.0,0.0013417474009374782,27
app_category_exposure_percentile,2203.012604236603,75.0,0.0011767331411236548,28
app_category_hist_clicks,2173.1974341869354,119.0,0.0011608074498052256,29
site_category_exposure_percentile,2098.888786315918,98.0,0.0011211156893251649,30
site_category_hist_clicks,2074.577744960785,127.0,0.0011081300132546796,31
app_category_hist_impressions,1192.022337436676,51.0,0.0006367154626005818,32
is_weekend,349.9133987426758,30.0,0.00018690528235375476,33
