decile,rows,clicks,probability_min,probability_max,mean_probability,actual_ctr,overall_ctr,lift,share_of_total_clicks,cumulative_rows,cumulative_coverage,cumulative_clicks,cumulative_click_capture_rate
1,20000,7670,0.3088050314465409,0.9999999,0.39067157483575937,0.3835,0.15697,2.4431420016563674,0.24431420016563674,20000,0.1,7670,0.24431420016563674
2,20000,5616,0.2530369012147604,0.3088050314465409,0.28371882313305213,0.2808,0.15697,1.788876855450086,0.1788876855450086,40000,0.2,13286,0.4232018857106453
3,20000,4593,0.20059788440901427,0.2530369012147604,0.22910955820574808,0.22965,0.15697,1.4630184111613684,0.14630184111613684,60000,0.3,17879,0.5695037268267822
4,20000,3739,0.17262602579132474,0.20059788440901427,0.1897289780822489,0.18695,0.15697,1.1909919092820285,0.11909919092820284,80000,0.4,21618,0.688602917754985
5,20000,3011,0.12927899686520378,0.17262602579132474,0.14814607126151935,0.15055,0.15697,0.9591004650570172,0.09591004650570173,100000,0.5,24629,0.7845129642606867
6,20000,2473,0.09930925836160931,0.12927899686520378,0.11773789537291832,0.12365,0.15697,0.7877301395171051,0.07877301395171052,120000,0.6,27102,0.8632859782123973
7,20000,1932,0.073890608875129,0.09930925836160931,0.09177590470887896,0.0966,0.15697,0.6154042173663757,0.061540421736637575,140000,0.7,29034,0.9248263999490348
8,20000,1262,0.0506265664160401,0.073890608875129,0.061833151331809146,0.0631,0.15697,0.4019876409505001,0.04019876409505001,160000,0.8,30296,0.9650251640440849
9,20000,720,0.030492030492030493,0.0506265664160401,0.03856748105075495,0.036,0.15697,0.22934318659616484,0.02293431865961649,180000,0.9,31016,0.9879594827037014
10,20000,378,1e-07,0.030492030492030493,0.01778119964809031,0.0189,0.15697,0.12040517296298656,0.012040517296298656,200000,1.0,31394,1.0
