target_coverage,selected_rows,actual_coverage,probability_cutoff,selected_clicks,selected_ctr,overall_ctr,lift,cumulative_click_capture_rate,cumulative_gain,random_expected_clicks,incremental_clicks_vs_random
0.01,2000,0.01,0.5577651515151517,1205,0.6025,0.15697,3.838313053449704,0.03838313053449704,0.03838313053449704,313.94,891.06
0.02,4000,0.02,0.49593495934959336,2217,0.55425,0.15697,3.530929476970122,0.07061858953940243,0.07061858953940243,627.88,1589.12
0.05,10000,0.05,0.32673267326732675,4551,0.4551,0.15697,2.899280117219851,0.14496400586099253,0.14496400586099253,1569.7,2981.3
0.1,20000,0.1,0.3088050314465409,7670,0.3835,0.15697,2.4431420016563674,0.24431420016563674,0.24431420016563674,3139.4,4530.6
0.15,30000,0.15,0.2924078091106291,10649,0.35496666666666665,0.15697,2.2613662907986662,0.33920494361979997,0.33920494361979997,4709.1,5939.9
0.2,40000,0.2,0.2530369012147604,13286,0.33215,0.15697,2.1160094285532267,0.4232018857106453,0.4232018857106453,6278.8,7007.2
0.3,60000,0.3,0.20059788440901427,17879,0.2979833333333333,0.15697,1.8983457560892738,0.5695037268267822,0.5695037268267822,9418.2,8460.8
0.4,80000,0.4,0.17262602579132474,21618,0.270225,0.15697,1.7215072943874625,0.688602917754985,0.688602917754985,12557.6,9060.4
0.5,100000,0.5,0.12927899686520378,24629,0.24629,0.15697,1.5690259285213737,0.7845129642606867,0.7845129642606867,15697.0,8932.0
0.6,120000,0.6,0.09930925836160931,27102,0.22585,0.15697,1.4388099636873288,0.8632859782123973,0.8632859782123973,18836.4,8265.599999999999
0.7,140000,0.7,0.073890608875129,29034,0.20738571428571428,0.15697,1.321180571355764,0.9248263999490348,0.9248263999490348,21975.8,7058.200000000001
0.8,160000,0.8,0.0506265664160401,30296,0.18935,0.15697,1.206281455055106,0.9650251640440849,0.9650251640440849,25115.2,5180.799999999999
0.9,180000,0.9,0.030492030492030493,31016,0.1723111111111111,0.15697,1.0977327585596681,0.9879594827037014,0.9879594827037014,28254.6,2761.4000000000015
1.0,200000,1.0,1e-07,31394,0.15697,0.15697,1.0,1.0,1.0,31394.0,0.0
