feature,gain_importance,weight_importance,gain_importance_normalized,rank
site_id_te,1362.81884765625,471.0,0.2987049671991566,1
site_id_hist_ctr,725.5868530273438,391.0,0.1590353681315834,2
app_id_te,649.6907348632812,436.0,0.14240032707258427,3
app_id_hist_ctr,302.0340881347656,358.0,0.06620034830342962,4
site_id_freq,151.4100341796875,620.0,0.03318631039704738,5
site_id_hist_clicks,131.3828887939453,232.0,0.02879672639927031,6
app_id_exposure_percentile,112.4415054321289,274.0,0.02464512157994429,7
device_model_te,107.23019409179688,674.0,0.023502897442337474,8
site_category_freq,89.08113861083984,184.0,0.019524956403836106,9
app_category_freq,87.09891510009766,183.0,0.019090489262604586,10
site_id_exposure_percentile,82.45460510253906,253.0,0.018072541449607085,11
site_category_exposure_percentile,75.54792785644531,126.0,0.016558724111523156,12
app_id_freq,68.32734680175781,576.0,0.014976104799493132,13
site_id_hist_impressions,67.30661010742188,107.0,0.01475237798405838,14
app_id_hist_impressions,62.112709045410156,135.0,0.01361396986104774,15
device_model_hist_ctr,48.227115631103516,540.0,0.010570501734308506,16
app_id_hist_clicks,45.32001495361328,200.0,0.00993331843294181,17
site_category_hist_impressions,44.55970001220703,109.0,0.00976667130296972,18
hour_sin,42.010833740234375,465.0,0.009208006431645113,19
device_model_freq,40.89469909667969,519.0,0.008963370130447627,20
app_category_te,32.40781784057617,212.0,0.007103200973272181,21
device_model_exposure_percentile,26.273134231567383,406.0,0.005758590521664762,22
app_category_exposure_percentile,24.721250534057617,103.0,0.00541844599713109,23
hour_cos,24.489238739013672,373.0,0.005367593254855325,24
site_category_hist_clicks,23.032676696777344,129.0,0.0050483414938468935,25
site_category_te,22.028432846069336,105.0,0.004828229608102448,26
app_category_hist_ctr,20.643083572387695,218.0,0.004524586383571092,27
site_category_hist_ctr,19.700979232788086,115.0,0.004318094342209726,28
app_category_hist_clicks,16.662004470825195,124.0,0.0036520066533343234,29
app_category_hist_impressions,16.373889923095703,72.0,0.0035888572137172062,30
device_model_hist_impressions,14.965418815612793,227.0,0.003280146106085268,31
is_weekend,13.465425491333008,32.0,0.002951375002355301,32
device_model_hist_clicks,12.12434196472168,294.0,0.0026574340200180738,33
